Year of Project Year,Subsystem 1 - Technology Mid-Type,Country (group),Subsystem 1 - Technology Broad Category,Subsystem 1 - Technology Sub-Type (group),Country,Subsystem 1 - Technology Sub-Type,Rated Power (kW),Storage Capacity (kWh)
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,800,15000
2013,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1100,7600
2017,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,40000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2500,2900
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,6000,12000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30000,75000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30000,75000
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,4200
2012,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3000,3000
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,40000
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,40000
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1500,900000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,700,3000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,2000
2013,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,4500,
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,31500,600
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,31500,12500
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,18000,12100
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,500,900
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,14000,70000
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3000,3000
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3000,3000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,4300,14000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3300,6000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3200,6000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,700,1400
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3500,6700
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,900,1800
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3700,9000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1900,3500
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,700,2500
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2500,5000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,7500
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,6100
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,20000,20000
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,7900
2017,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,300,500
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,4000
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1500,7700
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3000,4400
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,4000,8800
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,4000,8000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,4000,8000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3000,6000
2021,Nickel-based battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,12800,4200
2020,Nickel-based battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1600,3200
2020,Nickel-based battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3900,7900
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,16000
2020,Lead-acid battery,Brazil,Electro-chemical battery and chemical storage,Lead-carbon battery,Brazil,Lead-carbon battery,242,726
2020,Lead-acid battery,Brazil,Electro-chemical battery and chemical storage,Lead-carbon battery,Brazil,Lead-carbon battery,150,300
2021,Lithium-ion battery,Ukraine,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,Ukraine,Lithium-iron phosphate battery,1043,2249.751
2006,Lead-acid battery,United Kingdom,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United Kingdom,Unknown Technology Sub-Type ,5,25
2016,Unknown Technology Mid-Type,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,16200,8100
2015,Flow battery,Czech Republic,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Czech Republic,Vanadium redox flow battery,10,40
2014,Flow battery,Russia,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,Russia,Zinc-bromine flow battery,25,50
2014,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,United States,Zinc-bromine flow battery,25,50
2016,Flow battery,South Africa,Electro-chemical battery and chemical storage,Vanadium redox flow battery,South Africa,Vanadium redox flow battery,625,2500
2015,Flow battery,Germany,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Germany,Vanadium redox flow battery,10,100
2014,Lead-acid battery,Germany,Electro-chemical battery and chemical storage,Advanced lead-acid battery,Germany,Advanced lead-acid battery,1500,1005
2015,Lead-acid battery,Japan,Electro-chemical battery and chemical storage,Hybrid lead-acid battery/electro-chemical capacitor,Japan,Hybrid lead-acid battery/electro-chemical capacitor,300,336
2015,Lead-acid battery,Japan,Electro-chemical battery and chemical storage,Hybrid lead-acid battery/electro-chemical capacitor,Japan,Hybrid lead-acid battery/electro-chemical capacitor,85,163.2
2014,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Advanced lead-acid battery,United States,Advanced lead-acid battery,200,800
2014,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,10000,20000
2014,Lithium-ion battery,South Korea,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,South Korea,Unknown Technology Sub-Type ,4000,2000
2014,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,125,250
2012,Lithium-ion battery,Taiwan,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,Taiwan,Lithium-iron phosphate battery,125,1740
2012,Lithium-ion battery,Taiwan,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,Taiwan,Lithium-iron phosphate battery,250,500
2012,Lithium-ion battery,Taiwan,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,Taiwan,Lithium-iron phosphate battery,250,750
2012,Lithium-ion battery,Taiwan,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,Taiwan,Lithium-iron phosphate battery,100,250
2014,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,1000,2000
2015,Lithium-ion battery,Netherlands,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Netherlands,Unknown Technology Sub-Type ,10000,10000
2014,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Lithium-manganese oxide battery,Germany,Lithium-manganese oxide battery,100,100
2011,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1,25
2016,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,2000,20000
2016,Lithium-ion battery,Australia,Electro-chemical battery and chemical storage,Lithium-nickel-manganese-cobalt battery,Australia,Lithium-nickel-manganese-cobalt battery,30,60
